id,_object<jpn>,object<eng>,_text<jpn>,text<eng>
note_anywhere00,メモ,<PLEASE_TRANSLATE>,戻ってきたきみへ。<br>ごめん。待ってあげられなくて、本当にごめん。ここで死んだって、きみを待っているつもりだった。<br>でも、できなかった。ごめん。<br>君が許してくれるなら。この先で、きっと、また会おう。,<PLEASE_TRANSLATE>
note_anywhere01,メモ,<PLEASE_TRANSLATE>,ここに立てこもって3日間。食料も、もうすぐなくなる。<br>水がなくなったら、そのあとはどうしよう。3日前はそこら中で聞こえていた人の声も、もうほとんど聞こえない。<br>外はどうなっただろう。怖くて覗けない。誰か──,<PLEASE_TRANSLATE>
note_anywhere02,メモ,<PLEASE_TRANSLATE>,初めて、怪物に出会った。<br>路地の奥に突っ立ってた。顔は半分腐ってて、こっちに気づいた途端、唸り声をあげて近づいてきた。右足がうまく動かせないみたいで、それで逃げきれた。<br>右足から、木の枝みたいなのが生えてたように見えたけど......あれは、見間違いだったんだろうか。,<PLEASE_TRANSLATE>
note_apartment00,壁,<PLEASE_TRANSLATE>,みんな、もうこの町から逃げただろうか。<br>わたしはここで死ぬらしい。足が動かない。戻る途中でやつらに出くわしてしまった。<br>やつら、人を食べたりするわけでもないのに、どうして人を見つけると襲ってくるんだろう。<br>こんなところに書き残したって、きっと誰も見やしないだろうけれど......,<PLEASE_TRANSLATE>
note_hut00,壁,<PLEASE_TRANSLATE>,どなたかわからないけれど、この小屋の持ち主にお礼を言いたい。ここで休めなければ、きっと私はあきらめてた。<br>私はもう行きます。もしあなたが、私と同じようにここにやってきた誰かなら、あきらめないで。きっと希望はあります。<br>またどこかで、日常を取り戻せることを祈って。,<PLEASE_TRANSLATE>
note_shop00,メモ書き,<PLEASE_TRANSLATE>,これを見たスタッフへ。<br>すぐに家に帰ってください。しばらくの間休業します。<br>世間で噂されていることは、どうやら本当のようです。すぐに帰って、身の安全を確保してください。<br>私もここを出たら、電車で実家に戻るつもりです。どうか気をつけて。,<PLEASE_TRANSLATE>
note_shop01,誰かへの書き置き,<PLEASE_TRANSLATE>,配管に穴でも開いたかもしれない。<br>業者に連絡しましたが、こんな状況なのでいつになるかわかりません。<br>バルブを見かけても、<button>捻って</button>みたりしないように。,<PLEASE_TRANSLATE>
note_office00,付箋,<PLEASE_TRANSLATE>,明日から当面の間、自宅待機となる。<br>できるだけ仕事を片付けて、貴重品は必ず持ち帰るように。<br>正直なところ、もう二度とここには戻ってこられないと思っておいた方がいいかもしれない。,<PLEASE_TRANSLATE>
note_palace00,絵画の隅,<PLEASE_TRANSLATE>,やつらが門の前まで来た。<br>誰も帰ってこない。<br>どうしよう。どうしよう。どうしよう。,<PLEASE_TRANSLATE>
note_palace01,メモ,<PLEASE_TRANSLATE>,今日搬入された品は、少し変わった見た目をしていますが、勝手に触らないように。<br>首を<button>回す</button>と何かが起きる仕掛けになっているようですが、現在確認中です。,<PLEASE_TRANSLATE>
note_village00,民家の塀,<PLEASE_TRANSLATE>,避難命令が発令されました。速やかに町から離れてください。,<PLEASE_TRANSLATE>
note_camp00,メモ,<PLEASE_TRANSLATE>,ここに逃げてきて、もう四日になる。食料は確保できたし、今のところ感染者にも出会っていない。<br>やっぱりもともと人が少ないところは安全なのかもしれない。しばらくの間ここで過ごすことにする。<br>今から周囲を見に行くけれど、これで戻ってこられないということはないだろう。,<PLEASE_TRANSLATE>
note_seaside00,コンクリートの塀,<PLEASE_TRANSLATE>,食べるものを持っていたら、分けていただけないでしょうか。<br>この先でキャンプをしています。これを見たら、どうか助けてください。<br>もし、私がまだ生きていたなら,<PLEASE_TRANSLATE>
note_seaside01,書き置き,<PLEASE_TRANSLATE>,蓋が開かない木箱を見つけた。<br>どうしようもないから、あとで<button>燃やして</button>みようと思う。<br>中身が取り出せるかもしれないし、だめでも暖をとれる。,<PLEASE_TRANSLATE>
note_hotel00,壁,<PLEASE_TRANSLATE>,目は白く濁っていて、口は開きっぱなしだった。<br>言葉は話せず、うめき声をあげるばっかりだった。身体が腐るのは、どうやらウイルスのせいじゃないらしい。<br>身体が死んでしまったから、自然に腐る。それなのに動き続ける。いったい、身体の中でどんなことが起こっているんだろう？,<PLEASE_TRANSLATE>
note_library00,開きっぱなしの本,<PLEASE_TRANSLATE>,本が永遠に読めるなんて天国のようだと思ったけれど、すぐに地獄だと気づいた。<br>窓が少なくて蒸し暑い。本が音を吸うせいで静かすぎる。<br>このままここにいたらおかしくなってしまう。早く出ていかないと。でも、どこに？,<PLEASE_TRANSLATE>
note_library01,小さな看板,<PLEASE_TRANSLATE>,舌を下に引っ張ると、何かいいことがあるかも！,<PLEASE_TRANSLATE>
